4,Airport ID,Name,City,Country,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TZ,Type,Source
AHE,5889,Ahe Airport,Ahe,French Polynesia,NTHE,-14.428099632263185,-146.2570037841797,11,-10.0,U,Pacific/Tahiti,airport,OurAirports
AUQ,5890,Hiva Oa-Atuona Airport,Hiva-oa,French Polynesia,NTMN,-9.76879024506,-139.011001587,1481,-9.5,U,Pacific/Marquesas,airport,OurAirports
UAP,5891,Ua Pou Airport,Ua Pou,French Polynesia,NTMP,-9.351670265197754,-140.0780029296875,16,-9.5,U,Pacific/Marquesas,airport,OurAirports
UAH,5892,Ua Huka Airport,Ua Huka,French Polynesia,NTMU,-8.93610954284668,-139.552001953125,160,-9.5,U,Pacific/Marquesas,airport,OurAirports
MTV,5893,Mota Lava Airport,Ablow,Vanuatu,NVSA,-13.666000366199999,167.712005615,63,11.0,U,Pacific/Efate,airport,OurAirports
SLH,5894,Sola Airport,Sola,Vanuatu,NVSC,-13.851699829100001,167.537002563,7,11.0,U,Pacific/Efate,airport,OurAirports
TOH,5895,Torres Airstrip,Loh/Linua,Vanuatu,NVSD,-13.328000068699998,166.638000488,75,11.0,U,Pacific/Efate,airport,OurAirports
EAE,5896,Siwo Airport,Sangafa,Vanuatu,NVSE,-17.0902996063,168.343002319,7,11.0,U,Pacific/Efate,airport,OurAirports
CCV,5897,Craig Cove Airport,Craig Cove,Vanuatu,NVSF,-16.264999389648438,167.9239959716797,69,11.0,U,Pacific/Efate,airport,OurAirports
LOD,5898,Longana Airport,Longana,Vanuatu,NVSG,-15.3066997528,167.966995239,167,11.0,U,Pacific/Efate,airport,OurAirports
SSR,5899,Sara Airport,Pentecost Island,Vanuatu,NVSH,-15.4708003998,168.15199279799998,493,11.0,U,Pacific/Efate,airport,OurAirports
PBJ,5900,Tavie Airport,Paama Island,Vanuatu,NVSI,-16.438999176,168.257003784,160,11.0,U,Pacific/Efate,airport,OurAirports
LPM,5901,Lamap Airport,Lamap,Vanuatu,NVSL,-16.45400047302246,167.822998046875,7,11.0,U,Pacific/Efate,airport,OurAirports
LNB,5902,Lamen Bay Airport,Lamen Bay,Vanuatu,NVSM,-16.584199905400002,168.15899658200001,7,11.0,U,Pacific/Efate,airport,OurAirports
MWF,5903,Maewo-Naone Airport,Maewo Island,Vanuatu,NVSN,-15.0,168.082992554,509,11.0,U,Pacific/Efate,airport,OurAirports
LNE,5904,Lonorore Airport,Lonorore,Vanuatu,NVSO,-15.8655996323,168.17199707,43,11.0,U,Pacific/Efate,airport,OurAirports
NUS,5905,Norsup Airport,Norsup,Vanuatu,NVSP,-16.079700469970707,167.4010009765625,23,11.0,U,Pacific/Efate,airport,OurAirports
